"Date,""close_price"",""Negara"",""open_price"",""decrease_price"""
2021-12-27,0.30212,Kuwait,0.301,-0.0011200000000000099
2021-12-28,0.30218,Kuwait,0.301,-0.0011800000000000144
2021-12-29,0.3022,Kuwait,0.301,-0.0012000000000000344
2021-12-30,0.302,Kuwait,0.301,-0.0010000000000000009
2021-12-31,0.30202,Kuwait,0.301,-0.0010200000000000209
2022-01-03,0.30202,Kuwait,0.301,-0.0010200000000000209
2022-01-04,0.30202,Kuwait,0.301,-0.0010200000000000209
2022-01-05,0.30227,Kuwait,0.301,-0.0012699999999999934
2022-01-06,0.30207,Kuwait,0.301,-0.0010700000000000154
2022-01-07,0.30217,Kuwait,0.301,-0.0011700000000000044
2022-01-10,0.30215,Kuwait,0.301,-0.0011499999999999844
2022-01-11,0.30213,Kuwait,0.301,-0.0011300000000000199
2022-01-12,0.30215,Kuwait,0.301,-0.0011499999999999844
2022-01-13,0.30182,Kuwait,0.301,-0.00082
2022-01-14,0.30142,Kuwait,0.301,-0.00042
2022-01-17,0.30142,Kuwait,0.301,-0.00042
2022-01-18,0.30162,Kuwait,0.301,-0.00062
2022-01-19,0.30187,Kuwait,0.301,-0.00087
2022-01-20,0.30187,Kuwait,0.301,-0.00087
2022-01-21,0.30182,Kuwait,0.301,-0.00082
2022-01-24,0.30182,Kuwait,0.301,-0.00082
2022-01-25,0.30187,Kuwait,0.301,-0.00087
2022-01-26,0.3019,Kuwait,0.301,-0.0009
2022-01-27,0.30195,Kuwait,0.301,-0.00095
2022-01-28,0.3025,Kuwait,0.301,-0.0015000000000000013
2022-01-31,0.30255,Kuwait,0.301,-0.0015499999999999958
2022-02-01,0.3025,Kuwait,0.301,-0.0015000000000000013
2022-02-02,0.30205,Kuwait,0.301,-0.0010499999999999954
2022-02-03,0.30189,Kuwait,0.301,-0.00089
2022-02-04,0.3019,Kuwait,0.301,-0.0009
2022-02-07,0.3018,Kuwait,0.301,-0.0008
2022-02-08,0.3017,Kuwait,0.301,-0.0007
2022-02-09,0.30175,Kuwait,0.301,-0.00075
2022-02-10,0.30175,Kuwait,0.301,-0.00075
2022-02-11,0.30205,Kuwait,0.301,-0.0010499999999999954
2022-02-14,0.30175,Kuwait,0.301,-0.00075
2022-02-15,0.302,Kuwait,0.301,-0.0010000000000000009
2022-02-16,0.30205,Kuwait,0.301,-0.0010499999999999954
2022-02-17,0.3021,Kuwait,0.301,-0.0010999999999999899
2022-02-18,0.3019,Kuwait,0.301,-0.0009
2022-02-21,0.30185,Kuwait,0.301,-0.00085
2022-02-22,0.30195,Kuwait,0.301,-0.00095
2022-02-23,0.30205,Kuwait,0.301,-0.0010499999999999954
2022-02-24,0.30195,Kuwait,0.301,-0.00095
2022-02-25,0.30248,Kuwait,0.301,-0.0014800000000000368
2022-02-28,0.30252,Kuwait,0.301,-0.0015200000000000213
2022-03-01,0.30235,Kuwait,0.301,-0.0013500000000000179
2022-03-02,0.30245,Kuwait,0.301,-0.0014500000000000068
2022-03-03,0.30269,Kuwait,0.301,-0.0016900000000000248
2022-03-04,0.3027,Kuwait,0.301,-0.0017000000000000348
2022-03-07,0.30292,Kuwait,0.301,-0.0019200000000000328
2022-03-08,0.3033,Kuwait,0.301,-0.0023000000000000242
2022-03-09,0.3033,Kuwait,0.301,-0.0023000000000000242
2022-03-10,0.3032,Kuwait,0.301,-0.0022000000000000353
2022-03-11,0.30315,Kuwait,0.301,-0.0021499999999999853
2022-03-14,0.30327,Kuwait,0.301,-0.0022699999999999942
2022-03-15,0.30372,Kuwait,0.301,-0.00272
2022-03-16,0.30365,Kuwait,0.301,-0.0026499999999999857
2022-03-17,0.30345,Kuwait,0.301,-0.0024500000000000077
2022-03-18,0.30335,Kuwait,0.301,-0.0023500000000000187
2022-03-21,0.30325,Kuwait,0.301,-0.0022500000000000298
2022-03-22,0.3034,Kuwait,0.301,-0.0024000000000000132
2022-03-23,0.3033,Kuwait,0.301,-0.0023000000000000242
2022-03-24,0.30361,Kuwait,0.301,-0.002610000000000001
2022-03-25,0.30366,Kuwait,0.301,-0.0026599999999999957
2022-03-28,0.30365,Kuwait,0.301,-0.0026499999999999857
2022-03-29,0.30395,Kuwait,0.301,-0.002950000000000008
2022-03-30,0.3037,Kuwait,0.301,-0.0027000000000000357
2022-03-31,0.30325,Kuwait,0.301,-0.0022500000000000298
2022-04-01,0.30345,Kuwait,0.301,-0.0024500000000000077
2022-04-04,0.30375,Kuwait,0.301,-0.00275000000000003
2022-04-05,0.30385,Kuwait,0.301,-0.002850000000000019
2022-04-06,0.304,Kuwait,0.301,-0.0030000000000000027
2022-04-07,0.30425,Kuwait,0.301,-0.0032500000000000306
2022-04-08,0.3042,Kuwait,0.301,-0.003200000000000036
2022-04-11,0.30445,Kuwait,0.301,-0.0034500000000000086
2022-04-12,0.30445,Kuwait,0.301,-0.0034500000000000086
2022-04-13,0.30437,Kuwait,0.301,-0.003369999999999984
2022-04-14,0.3046,Kuwait,0.301,-0.003599999999999992
2022-04-15,0.30451,Kuwait,0.301,-0.003510000000000013
2022-04-18,0.30505,Kuwait,0.301,-0.004049999999999998
2022-04-19,0.305,Kuwait,0.301,-0.0040000000000000036
2022-04-20,0.305,Kuwait,0.301,-0.0040000000000000036
2022-04-21,0.30485,Kuwait,0.301,-0.00385000000000002
2022-04-22,0.3048,Kuwait,0.301,-0.0038000000000000256
2022-04-25,0.3051,Kuwait,0.301,-0.0040999999999999925
2022-04-26,0.3052,Kuwait,0.301,-0.004200000000000037
2022-04-27,0.3053,Kuwait,0.301,-0.004300000000000026
2022-04-28,0.3058,Kuwait,0.301,-0.0048000000000000265
2022-04-29,0.3064,Kuwait,0.301,-0.005400000000000016
2022-05-02,0.3062,Kuwait,0.301,-0.005200000000000038
2022-05-03,0.30615,Kuwait,0.301,-0.005149999999999988
2022-05-04,0.3062,Kuwait,0.301,-0.005200000000000038
2022-05-05,0.30635,Kuwait,0.301,-0.005350000000000021
2022-05-06,0.3062,Kuwait,0.301,-0.005200000000000038
