"Date","close_price","Negara","open_price","decrease_price"
2022-01-13,1.3459,Singapura,1.349,0.0030999999999998806
2022-01-14,1.34605,Singapura,1.349,0.002950000000000008
2022-01-17,1.34856,Singapura,1.349,0.00044
2022-01-18,1.34842,Singapura,1.349,0.00058
2022-01-19,1.35052,Singapura,1.349,-0.0015199999999999658
2022-01-20,1.3474,Singapura,1.349,0.0016000000000000458
2022-01-21,1.34689,Singapura,1.349,0.0021100000000000563
2022-01-24,1.3445,Singapura,1.349,0.0044999999999999485
2022-01-25,1.34534,Singapura,1.349,0.0036599999999999966
2022-01-26,1.3438,Singapura,1.349,0.005199999999999871
2022-01-27,1.3482,Singapura,1.349,0.0007999999999999
2022-01-28,1.35264,Singapura,1.349,-0.0036400000000000876
2022-01-31,1.35589,Singapura,1.349,-0.006890000000000063
2022-02-01,1.35156,Singapura,1.349,-0.0025600000000001177
2022-02-02,1.34856,Singapura,1.349,0.00044
2022-02-03,1.3475,Singapura,1.349,0.0015000000000000568
2022-02-04,1.34403,Singapura,1.349,0.004969999999999919
2022-02-07,1.34516,Singapura,1.349,0.0038400000000000656
2022-02-08,1.34358,Singapura,1.349,0.00541999999999998
2022-02-09,1.3446,Singapura,1.349,0.0043999999999999595
2022-02-10,1.3416,Singapura,1.349,0.007400000000000073
2022-02-11,1.34546,Singapura,1.349,0.0035399999999998766
2022-02-14,1.34698,Singapura,1.349,0.0020199999999999108
2022-02-15,1.3465,Singapura,1.349,0.0024999999999999467
2022-02-16,1.34472,Singapura,1.349,0.0042800000000000615
2022-02-17,1.34301,Singapura,1.349,0.00598999999999994
2022-02-18,1.3428,Singapura,1.349,0.006199999999999983
2022-02-21,1.34616,Singapura,1.349,0.0028399999999999537
2022-02-22,1.3466,Singapura,1.349,0.0023999999999999577
2022-02-23,1.34546,Singapura,1.349,0.0035399999999998766
2022-02-24,1.34619,Singapura,1.349,0.002809999999999979
2022-02-25,1.35501,Singapura,1.349,-0.006010000000000071
2022-02-28,1.35904,Singapura,1.349,-0.010040000000000049
2022-03-01,1.3553,Singapura,1.349,-0.006299999999999972
2022-03-02,1.35733,Singapura,1.349,-0.008329999999999949
2022-03-03,1.35498,Singapura,1.349,-0.005980000000000096
2022-03-04,1.3563,Singapura,1.349,-0.007300000000000084
2022-03-07,1.36194,Singapura,1.349,-0.012939999999999952
2022-03-08,1.36183,Singapura,1.349,-0.012830000000000119
2022-03-09,1.36517,Singapura,1.349,-0.016170000000000018
2022-03-10,1.3571,Singapura,1.349,-0.008099999999999996
2022-03-11,1.35805,Singapura,1.349,-0.009050000000000002
2022-03-14,1.3627,Singapura,1.349,-0.013700000000000045
2022-03-15,1.36615,Singapura,1.349,-0.01715
2022-03-16,1.36523,Singapura,1.349,-0.016229999999999967
2022-03-17,1.35826,Singapura,1.349,-0.009260000000000046
2022-03-18,1.35327,Singapura,1.349,-0.004269999999999996
2022-03-21,1.35617,Singapura,1.349,-0.007170000000000121
2022-03-22,1.358,Singapura,1.349,-0.009000000000000119
